                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                 0.9858,                0.85847,                0.95624,                0.88285,                0.72912,                0.84402,                0.66069,                    nan,                    nan,                    nan,               0.008515,               0.008515,               0.008515
                     33,                0.99275,                0.88249,                0.98655,                0.95625,                0.74265,                0.84428,                0.66071,                    nan,                    nan,                    nan,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.0246,                0.86951,                0.98206,                0.85612,                0.74395,                0.83967,                0.65529,                    nan,                    nan,                    nan,               0.008416,               0.008416,               0.008416
                     35,                0.97471,                0.82158,                0.96835,                0.95854,                0.72711,                0.84135,                0.66084,                    nan,                    nan,                    nan,              0.0083665,              0.0083665,              0.0083665
                     36,                0.98449,                 0.7858,                0.96584,                0.88379,                0.79096,                0.86719,                0.67448,                    nan,                    nan,                    nan,               0.008317,               0.008317,               0.008317
                     37,                0.98983,                0.79418,                0.96364,                0.90456,                0.74928,                0.85655,                0.66332,                    nan,                    nan,                    nan,              0.0082675,              0.0082675,              0.0082675
                     38,                0.97551,                0.79426,                 0.9633,                0.91799,                0.75022,                0.84958,                0.64011,                    nan,                    nan,                    nan,               0.008218,               0.008218,               0.008218
                     39,                0.98042,                0.78319,                0.96406,                0.93449,                0.76828,                 0.8598,                0.65977,                    nan,                    nan,                    nan,              0.0081685,              0.0081685,              0.0081685
                     40,                0.96071,                0.80367,                0.96621,                 0.8459,                0.77407,                0.84136,                0.66756,                    nan,                    nan,                    nan,               0.008119,               0.008119,               0.008119
                     41,                0.94032,                 0.7597,                0.94807,                0.95324,                0.73763,                0.85592,                0.64663,                    nan,                    nan,                    nan,              0.0080695,              0.0080695,              0.0080695
                     42,                  0.973,                0.78996,                0.96394,                0.92528,                0.77063,                0.86368,                0.66745,                    nan,                    nan,                    nan,                0.00802,                0.00802,                0.00802
                     43,                0.91848,                0.74487,                0.95778,                0.93789,                0.79793,                0.86958,                0.68486,                    nan,                    nan,                    nan,              0.0079705,              0.0079705,              0.0079705
                     44,                0.91085,                0.75849,                0.94528,                0.97332,                0.74996,                0.86748,                0.67578,                    nan,                    nan,                    nan,               0.007921,               0.007921,               0.007921
                     45,                0.96383,                0.80279,                0.97833,                0.92419,                0.71162,                0.82581,                0.66042,                    nan,                    nan,                    nan,              0.0078715,              0.0078715,              0.0078715
                     46,                0.92333,                0.79803,                0.94616,                0.85374,                0.81097,                0.85151,                0.67208,                    nan,                    nan,                    nan,               0.007822,               0.007822,               0.007822
                     47,                0.92157,                0.73198,                0.93263,                0.86953,                0.77662,                0.85794,                0.67305,                    nan,                    nan,                    nan,              0.0077725,              0.0077725,              0.0077725
                     48,                0.91661,                  0.782,                0.96106,                0.86565,                0.80467,                0.86193,                0.67941,                    nan,                    nan,                    nan,               0.007723,               0.007723,               0.007723
                     49,                0.89684,                0.75061,                0.94765,                0.94035,                0.74134,                0.86352,                0.68502,                    nan,                    nan,                    nan,              0.0076735,              0.0076735,              0.0076735
                     50,                0.92905,                0.72914,                 0.9502,                0.94427,                 0.7543,                0.85467,                0.65686,                    nan,                    nan,                    nan,               0.007624,               0.007624,               0.007624
                     51,                0.88842,                0.70228,                0.93359,                0.89098,                0.77965,                0.87146,                0.69024,                    nan,                    nan,                    nan,              0.0075745,              0.0075745,              0.0075745
                     52,                0.88817,                0.70932,                0.93757,                0.93926,                0.78445,                0.88496,                0.71446,                    nan,                    nan,                    nan,               0.007525,               0.007525,               0.007525
                     53,                0.91087,                0.74014,                0.93407,                0.88019,                0.79697,                0.87397,                0.70599,                    nan,                    nan,                    nan,              0.0074755,              0.0074755,              0.0074755
                     54,                0.86691,                0.68782,                0.93757,                0.86966,                0.78015,                0.86328,                0.68801,                    nan,                    nan,                    nan,               0.007426,               0.007426,               0.007426
                     55,                0.88581,                0.71783,                0.94426,                0.93009,                0.76278,                0.85405,                0.68652,                    nan,                    nan,                    nan,              0.0073765,              0.0073765,              0.0073765
                     56,                0.87833,                0.71018,                0.92856,                0.95208,                0.79506,                0.88339,                0.69423,                    nan,                    nan,                    nan,               0.007327,               0.007327,               0.007327
                     57,                0.88978,                0.68141,                0.93664,                0.89501,                0.80513,                0.87474,                0.70254,                    nan,                    nan,                    nan,              0.0072775,              0.0072775,              0.0072775
                     58,                 0.8937,                0.69429,                0.94164,                0.94082,                0.78094,                0.88328,                0.71417,                    nan,                    nan,                    nan,               0.007228,               0.007228,               0.007228
                     59,                0.89469,                0.69002,                0.93895,                0.86233,                0.83774,                0.89269,                0.68594,                    nan,                    nan,                    nan,              0.0071785,              0.0071785,              0.0071785
                     60,                0.90767,                0.70601,                  0.925,                0.95552,                0.77328,                0.88184,                0.69039,                    nan,                    nan,                    nan,               0.007129,               0.007129,               0.007129
                     61,                0.86839,                0.69247,                0.92469,                0.93259,                0.75425,                0.88381,                0.71627,                    nan,                    nan,                    nan,              0.0070795,              0.0070795,              0.0070795
                     62,                0.87194,                0.67997,                0.93879,                 0.9382,                0.81226,                0.87309,                0.69912,                    nan,                    nan,                    nan,                0.00703,                0.00703,                0.00703
                     63,                0.86329,                0.67865,                0.92409,                0.93901,                0.80135,                0.88342,                 0.6925,                    nan,                    nan,                    nan,              0.0069805,              0.0069805,              0.0069805
                     64,                0.88578,                0.67507,                0.94216,                0.93684,                 0.7791,                0.88133,                0.69321,                    nan,                    nan,                    nan,               0.006931,               0.006931,               0.006931
                     65,                0.83991,                 0.6472,                0.93001,                0.93787,                0.80716,                0.88352,                0.71836,                    nan,                    nan,                    nan,              0.0068815,              0.0068815,              0.0068815
                     66,                0.82874,                0.65444,                0.91201,                0.94018,                0.78158,                0.86237,                0.69993,                    nan,                    nan,                    nan,               0.006832,               0.006832,               0.006832
                     67,                0.82948,                0.65245,                0.93127,                0.92346,                0.77022,                0.87063,                0.69243,                    nan,                    nan,                    nan,              0.0067825,              0.0067825,              0.0067825
                     68,                0.82545,                0.63458,                0.92456,                0.92895,                0.81914,                0.88355,                0.72881,                    nan,                    nan,                    nan,               0.006733,               0.006733,               0.006733
                     69,                0.84461,                0.66273,                0.92436,                0.93349,                0.81051,                0.87811,                0.71323,                    nan,                    nan,                    nan,              0.0066835,              0.0066835,              0.0066835
                     70,                0.85164,                0.64047,                0.91905,                0.87861,                0.81478,                0.87513,                0.70744,                    nan,                    nan,                    nan,               0.006634,               0.006634,               0.006634
                     71,                 0.8335,                0.62762,                0.92067,                0.93537,                0.79591,                0.87224,                0.69648,                    nan,                    nan,                    nan,              0.0065845,              0.0065845,              0.0065845
                     72,                0.84226,                0.63612,                0.91813,                0.91862,                0.78976,                 0.8802,                0.71424,                    nan,                    nan,                    nan,               0.006535,               0.006535,               0.006535
                     73,                0.85599,                0.65948,                0.92964,                0.91534,                0.81353,                0.88827,                0.71987,                    nan,                    nan,                    nan,              0.0064855,              0.0064855,              0.0064855
                     74,                0.86304,                0.67504,                0.95093,                 0.9457,                0.77952,                 0.8671,                0.70757,                    nan,                    nan,                    nan,               0.006436,               0.006436,               0.006436
                     75,                0.87211,                 0.6669,                0.96924,                0.92885,                0.83227,                0.90015,                0.73791,                    nan,                    nan,                    nan,              0.0063865,              0.0063865,              0.0063865
                     76,                 0.8105,                0.63951,                0.90728,                0.94644,                0.79803,                0.90042,                0.72726,                    nan,                    nan,                    nan,               0.006337,               0.006337,               0.006337
                     77,                 0.8324,                0.63186,                0.91493,                0.95158,                0.81238,                0.89661,                0.72792,                    nan,                    nan,                    nan,              0.0062875,              0.0062875,              0.0062875
                     78,                0.81547,                0.61636,                0.92027,                0.97438,                0.75551,                0.87704,                0.72058,                    nan,                    nan,                    nan,               0.006238,               0.006238,               0.006238
                     79,                0.79073,                0.61359,                0.90563,                0.91188,                0.83695,                0.89278,                0.72303,                    nan,                    nan,                    nan,              0.0061885,              0.0061885,              0.0061885
                     80,                0.81539,                0.66143,                0.92044,                0.91473,                0.79001,                0.88229,                 0.7171,                    nan,                    nan,                    nan,               0.006139,               0.006139,               0.006139
                     81,                0.80186,                 0.6124,                0.90198,                0.92682,                0.80658,                0.89095,                0.71349,                    nan,                    nan,                    nan,              0.0060895,              0.0060895,              0.0060895
                     82,                0.81319,                0.60795,                 0.9211,                0.94251,                0.83363,                 0.8977,                0.73921,                    nan,                    nan,                    nan,                0.00604,                0.00604,                0.00604
                     83,                0.83553,                0.63914,                 0.9151,                0.94182,                0.83207,                0.89821,                0.72906,                    nan,                    nan,                    nan,              0.0059905,              0.0059905,              0.0059905
                     84,                0.79038,                0.60769,                0.90011,                0.91132,                0.83786,                0.90118,                0.72386,                    nan,                    nan,                    nan,               0.005941,               0.005941,               0.005941
                     85,                0.77952,                0.59235,                0.90258,                0.94043,                0.82183,                0.90105,                0.74393,                    nan,                    nan,                    nan,              0.0058915,              0.0058915,              0.0058915
                     86,                0.84157,                0.65503,                0.94896,                0.93504,                0.80032,                0.89417,                0.72358,                    nan,                    nan,                    nan,               0.005842,               0.005842,               0.005842
                     87,                 0.7814,                0.62072,                0.89901,                0.94193,                0.79159,                0.88127,                0.72525,                    nan,                    nan,                    nan,              0.0057925,              0.0057925,              0.0057925
                     88,                0.80912,                0.61444,                0.91066,                0.93296,                0.85053,                0.89849,                0.73746,                    nan,                    nan,                    nan,               0.005743,               0.005743,               0.005743
                     89,                0.77374,                0.58995,                0.90947,                0.93221,                0.81049,                0.87975,                0.70164,                    nan,                    nan,                    nan,              0.0056935,              0.0056935,              0.0056935
                     90,                0.77194,                0.60992,                0.91893,                0.92532,                0.83063,                0.90364,                 0.7436,                    nan,                    nan,                    nan,               0.005644,               0.005644,               0.005644
                     91,                0.79324,                0.67676,                0.92352,                0.93762,                0.80653,                0.89045,                0.72821,                    nan,                    nan,                    nan,              0.0055945,              0.0055945,              0.0055945
                     92,                0.78658,                0.60351,                0.91772,                0.91438,                0.80105,                0.90379,                0.72494,                    nan,                    nan,                    nan,               0.005545,               0.005545,               0.005545
                     93,                0.79464,                0.59983,                0.91361,                0.92041,                0.80214,                0.88313,                0.72314,                    nan,                    nan,                    nan,              0.0054955,              0.0054955,              0.0054955
                     94,                0.75127,                 0.5524,                0.91058,                0.91778,                0.81721,                0.89559,                0.73656,                    nan,                    nan,                    nan,               0.005446,               0.005446,               0.005446
                     95,                 0.7861,                0.57905,                0.90406,                0.95435,                0.81801,                0.91246,                0.73778,                    nan,                    nan,                    nan,              0.0053965,              0.0053965,              0.0053965
                      1,                  1.749,                 3.3246,                 1.2321,                0.20542,                0.41041,                0.15326,                0.07473,                    nan,                    nan,                    nan,               0.070357,              0.0032937,              0.0032937
                      2,                 1.8755,                 2.4085,                 1.3562,                0.26575,                0.32848,                0.19506,                0.09503,                    nan,                    nan,                    nan,               0.040324,              0.0065942,              0.0065942
                      3,                 1.8407,                 2.1814,                 1.3183,                0.41915,                0.34831,                0.25696,                0.13489,                    nan,                    nan,                    nan,               0.010259,              0.0098617,              0.0098617
                      4,                 1.8986,                 2.1795,                 1.3116,                 0.3017,                0.32108,                0.25323,                0.13037,                    nan,                    nan,                    nan,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.7653,                  2.023,                 1.2744,                0.49062,                0.45523,                0.39436,                0.20412,                    nan,                    nan,                    nan,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.6285,                 1.7138,                  1.209,                0.58471,                0.37895,                0.36293,                0.20902,                    nan,                    nan,                    nan,               0.009802,               0.009802,               0.009802
                      7,                 1.5977,                 1.7442,                 1.1857,                0.58839,                0.53623,                0.56383,                0.33799,                    nan,                    nan,                    nan,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.5929,                 1.7027,                 1.1938,                0.71614,                 0.5273,                0.64265,                0.41205,                    nan,                    nan,                    nan,               0.009703,               0.009703,               0.009703
                      9,                 1.5143,                  1.503,                 1.1598,                0.81332,                0.56135,                0.66245,                0.41293,                    nan,                    nan,                    nan,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.4815,                 1.5242,                 1.1468,                0.75106,                0.60338,                0.64422,                0.41034,                    nan,                    nan,                    nan,               0.009604,               0.009604,               0.009604
                     11,                 1.3975,                 1.3926,                 1.1102,                0.80367,                0.54187,                0.69416,                0.47699,                    nan,                    nan,                    nan,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.3808,                 1.3532,                 1.0957,                0.70129,                0.65307,                0.73462,                0.50541,                    nan,                    nan,                    nan,               0.009505,               0.009505,               0.009505
